"Category","Total"
"03/20",9
"03/21",0
"03/22",1
"03/23",1
"03/24",1
"03/25",2
"03/26",0
"03/27",2
"03/28",0
"03/29",1
"03/30",0
"03/31",0
"04/01",0
"04/02",0
