"Category","Total"
"03/20",7
"03/21",0
"03/22",0
"03/23",0
"03/24",0
"03/25",0
"03/26",1
"03/27",0
"03/28",0
"03/29",0
"03/30",1
"03/31",0
"04/01",0
"04/02",0
